id,label,group,nodesize
Patrícia Almeida Carvalho,Patrícia Almeida Carvalho,1,3
Letícia Mariê Minatogau Ferro,Letícia Mariê Minatogau Ferro,1,3
Jamil Ur Rahman,Jamil Ur Rahman,1,3
Nayereh Soltani,Nayereh Soltani,1,3
Giovanna Machado,Giovanna Machado,1,3
Diogo B. Almeida,Diogo B. Almeida,14,3
Fernanda Roberta Marciano,Fernanda Roberta Marciano,2,3
Virginie Roche,Virginie Roche,13,3
Pieuchot Laurent,Pieuchot Laurent,2,3
Aldo J.G. Zarbin,Aldo J.G. Zarbin,1,3
Lara Kelly Ribeiro,Lara Kelly Ribeiro,15,3
Guilherme Luiz Dotto,Guilherme Luiz Dotto,15,2
Felipe Augusto Gorla,Felipe Augusto Gorla,8,2
João Guilherme Correia,João Guilherme Correia,18,2
Nádia Silva Cosmo,Nádia Silva Cosmo,16,2
Bruno Lemos Batista,Bruno Lemos Batista,1,2
Pablo Rougerie,Pablo Rougerie,21,2
Xiang Zhang,Xiang Zhang,18,2
Miguel Henrique Boratto,Miguel Henrique Boratto,1,2
Chenxi Li,Chenxi Li,18,2
Leticia Batista Clarindo Silva,Leticia Batista Clarindo Silva,22,2
Yasmin Vieira,Yasmin Vieira,15,2
Mauro Coelho dos Santos,Mauro Coelho dos Santos,1,2
Natan Luis Nozella,Natan Luis Nozella,1,2
Cássio Augusto Pinto Silva,Cássio Augusto Pinto Silva,16,2
Regiamara Ribeiro Almeida,Regiamara Ribeiro Almeida,22,2
Bruno Hori Barboza,Bruno Hori Barboza,18,2
Mirela Inês de Sairre,Mirela Inês de Sairre,1,2
Suzana Azevedo dos Anjos,Suzana Azevedo dos Anjos,5,2
Marcus Vinicius Lia Fook,Marcus Vinicius Lia Fook,21,2
Luis Umbelino dos Santos,Luis Umbelino dos Santos,16,2
Eder Socrates Najar Lopes,Eder Socrates Najar Lopes,16,2
Eduardo Bertoni da Fonseca,Eduardo Bertoni da Fonseca,16,2
André Henrique Guimarães Gabriel,André Henrique Guimarães Gabriel,16,2
Marcelo Ornaghi Orlandi,Marcelo Ornaghi Orlandi,1,2
Joaquim Francisco Bertuol Porto,Joaquim Francisco Bertuol Porto,16,2
Rangel Graudiston Aredes,Rangel Graudiston Aredes,8,2
Lauro Paulo da Silva Neto,Lauro Paulo da Silva Neto,8,2
Eduardo Antonelli,Eduardo Antonelli,8,2
Michel Lacerda Marcondes,Michel Lacerda Marcondes,18,2
Marcia Carvalho de Abreu Fantini,Marcia Carvalho de Abreu Fantini,1,2
Tatiane Horta Ribeiro,Tatiane Horta Ribeiro,15,2
Biplab Sanyal,Biplab Sanyal,12,2
Keli Fabiana Seidel,Keli Fabiana Seidel,7,2
José Pedro Mansueto Serbena,José Pedro Mansueto Serbena,7,2
Karla Furtado Andriani,Karla Furtado Andriani,14,2
Elton Alves de Moura,Elton Alves de Moura,7,2
Bruno Sanches de Lima,Bruno Sanches de Lima,10,2
Andrew Paul Monkman,Andrew Paul Monkman,7,2
Amanda Akemy Komorizono,Amanda Akemy Komorizono,10,2
Gurpreet Singh,Gurpreet Singh,1,2
